Institute,Program,Quota,Category,Gender,ClosingRank
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Female-only,44405
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),HS,SC,Female-only,413693
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Female-only,186225
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),HS,EWS,Female-only,90958
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),HS,ST,Female-only,1183864
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,HS,OPEN,Female-only,50687
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,HS,SC,Female-only,399917
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,HS,OBC-NCL,Female-only,204747
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,HS,EWS,Female-only,118163
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,HS,ST,Female-only,969509
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),HS,OPEN,Female-only,75759
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),HS,SC,Female-only,698598
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),HS,OBC-NCL,Female-only,339542
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),HS,EWS,Female-only,183883
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,HS,OPEN,Female-only,79574
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,HS,SC,Female-only,597563
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,HS,OBC-NCL,Female-only,346713
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,HS,EWS,Female-only,192517
Indira Gandhi Delhi Technical University for Women,Information Technology,HS,OPEN,Female-only,64223
Indira Gandhi Delhi Technical University for Women,Information Technology,HS,SC,Female-only,516592
Indira Gandhi Delhi Technical University for Women,Information Technology,HS,OBC-NCL,Female-only,270817
Indira Gandhi Delhi Technical University for Women,Information Technology,HS,EWS,Female-only,151085
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,HS,OPEN,Female-only,64133
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,HS,SC,Female-only,470209
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,HS,OBC-NCL,Female-only,280051
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,HS,EWS,Female-only,135852
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,HS,OPEN,Female-only,92818
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,HS,SC,Female-only,820634
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,HS,OBC-NCL,Female-only,425801
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,HS,EWS,Female-only,244309
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering (Dual Degree),HS,OPEN,Female-only,94672
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering (Dual Degree),HS,SC,Female-only,856293
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering (Dual Degree),HS,OBC-NCL,Female-only,450146
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering (Dual Degree),HS,EWS,Female-only,245925
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,HS,OPEN,Female-only,69001
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,HS,SC,Female-only,617454
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,HS,OBC-NCL,Female-only,306445
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,HS,EWS,Female-only,163983
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,HS,OPEN,Female-only,2977
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,HS,SC,Female-only,21675
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,HS,OBC-NCL,Female-only,18619
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,HS,EWS,Female-only,18377
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,HS,ST,Female-only,17580
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),OS,OPEN,Female-only,23158
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),OS,SC,Female-only,171651
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),OS,ST,Female-only,240177
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),OS,OBC-NCL,Female-only,48607
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering (Artificial Intelligence),OS,EWS,Female-only,32454
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,OS,OPEN,Female-only,20667
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,OS,SC,Female-only,159820
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,OS,ST,Female-only,298847
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,OS,OBC-NCL,Female-only,44123
Indira Gandhi Delhi Technical University for Women,Computer Science and Engineering,OS,EWS,Female-only,29387
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),OS,OPEN,Female-only,27368
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),OS,SC,Female-only,190655
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),OS,ST,Female-only,362325
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),OS,OBC-NCL,Female-only,55626
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering (Artificial Intelligence),OS,EWS,Female-only,38849
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,OS,OPEN,Female-only,27449
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,OS,SC,Female-only,189771
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,OS,ST,Female-only,237746
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,OS,OBC-NCL,Female-only,53744
Indira Gandhi Delhi Technical University for Women,Electronics and Communication Engineering,OS,EWS,Female-only,36953
Indira Gandhi Delhi Technical University for Women,Information Technology,OS,OPEN,Female-only,25486
Indira Gandhi Delhi Technical University for Women,Information Technology,OS,SC,Female-only,181040
Indira Gandhi Delhi Technical University for Women,Information Technology,OS,ST,Female-only,339001
Indira Gandhi Delhi Technical University for Women,Information Technology,OS,OBC-NCL,Female-only,50746
Indira Gandhi Delhi Technical University for Women,Information Technology,OS,EWS,Female-only,32978
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,OS,OPEN,Female-only,25326
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,OS,SC,Female-only,185443
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,OS,ST,Female-only,301035
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,OS,OBC-NCL,Female-only,51611
Indira Gandhi Delhi Technical University for Women,Artificial Intelligence and Machine Learning,OS,EWS,Female-only,33019
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,OS,OPEN,Female-only,30228
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,OS,SC,Female-only,193338
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,OS,ST,Female-only,385313
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,OS,OBC-NCL,Female-only,59229
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering,OS,EWS,Female-only,40700
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering (Dual Degree),OS,OPEN,Female-only,31577
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering (Dual Degree),OS,SC,Female-only,206949
Indira Gandhi Delhi Technical University for Women,Mechanical and Automation Engineering (Dual Degree),OS,OBC-NCL,Female-only,57384
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,OS,OPEN,Female-only,26176
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,OS,SC,Female-only,190705
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,OS,ST,Female-only,356418
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,OS,OBC-NCL,Female-only,53447
Indira Gandhi Delhi Technical University for Women,Mathematics and Computing,OS,EWS,Female-only,35532
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,OS,OPEN,Female-only,1129
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,OS,ST,Female-only,8691
Indira Gandhi Delhi Technical University for Women,Bachelor of Architecture,OS,OBC-NCL,Female-only,3307